current_date.year,current_date.month,cycle,machine_time,runTime,meanHomefieldsSOCS,meanBushfieldsSOCS,meanRangelandSOCS,totalNFlows,totalCFlows,TT,CThroughflow
2036,2,267362,1688462920651.0,0.0,8.737171549098305,8.818160722454927,23.92924189830324,590273821.8683156,2799445987.7367964,434286665.3394083,816390555.0302887
2036,3,268754,1688462925855.0,0.0,8.479737009546879,8.556302957919101,23.218896732769508,597318756.0322188,2827419017.9061604,439629306.250715,825585271.893341
2036,4,270242,1688462931646.0,0.0,8.229945687848076,8.302242129232711,22.529815309998046,604366634.4328039,2855413116.158863,444973810.1745689,834796763.7321601
2036,5,271682,1688462937271.0,0.0,8.39849543728913,8.055713535111341,21.861097423413398,611432830.4224691,2883439757.2375283,450332010.4869862,844032304.5188591
2036,6,273170,1688462943201.0,0.0,8.240068334219815,7.8165073632885695,21.212248619482555,618503675.2824149,2911486796.457302,455693275.0354909,853283658.7241027
2036,7,274610,1688462950072.0,0.0,8.051223041675634,8.410773225449367,25.59480068424934,625754408.906097,2939617363.2672553,461135355.2869399,862549596.9425732
2036,8,276098,1688462952654.0,0.0,7.816635325377079,8.234346286115374,25.278914949726833,633090339.9713866,2968013606.7839093,466662617.4348326,871820481.0443676
2036,9,277586,1688462954983.0,0.0,7.584509772852161,7.990393988984068,24.53166043744579,640511384.4000379,2996669732.2238235,472274977.4614594,881092752.4710736
2036,10,279026,1688462957182.0,0.0,7.3592425387548674,7.753077723570493,23.80307402711839,648017477.4951187,3025585064.1788373,477972371.1794157,890365774.8577797
2036,11,280514,1688462959613.0,0.0,7.140665678436638,7.5228036135143945,23.096099152929504,655636352.2863183,3055362764.140369,483781472.7192209,900232901.9709558
2036,12,281954,1688462961958.0,0.0,6.929540570915797,7.299368823800698,22.410121913808254,663258135.6365836,3085149777.1452403,489592216.9737807,910106963.4311455
2037,1,283442,1688462967005.0,0.0,6.726119754787319,7.082618270353523,21.744719229359156,670883049.9714082,3114956803.214554,495404877.51575756,919998507.209838
2037,2,284930,1688462972486.0,0.0,6.528620208143626,6.87232401756435,21.09918407522064,678511237.6542007,3144785584.3092,501219431.4358228,929906968.581408
2037,3,286274,1688462977715.0,0.0,6.336679861335613,6.66827139672674,20.47278335200295,686142136.9563124,3174631827.808972,507035679.9097489,939830116.9650517
2037,4,287762,1688462984187.0,0.0,6.150300269792696,6.470311290329841,19.865038436312865,693776020.1193084,3204496584.5336437,512853786.22216874,949768769.9188474
2037,5,289202,1688462990366.0,0.0,6.379739492266803,6.278223945542292,19.275280401903462,701428020.1495653,3234391936.467295,518685519.3746653,959730850.4567635
2037,6,290690,1688462996827.0,0.0,6.283615123423111,6.09183535212766,18.70312090721479,709084563.777992,3264306139.9961305,524520363.7408505,969708415.9443389
2037,7,292130,1688463004299.0,0.0,6.151161867340917,6.397740635389857,24.036871750827572,716925094.5953032,3294292930.0240374,530436044.3696372,979700367.1148924
2037,8,293618,1688463006957.0,0.0,5.972838465837558,6.251008095070052,23.844971620651872,724855471.7656807,3324492128.4689345,536441555.8012022,989697573.1830668
2037,9,295106,1688463009573.0,0.0,5.79547416862066,6.065760735943812,23.14092947657428,732875631.9568464,3354899225.822882,542536834.747011,999697391.3383842
2037,10,296546,1688463011739.0,0.0,5.623343070162921,5.8856094577378855,22.45365420141512,740985481.0193396,3385512306.419642,548721787.5890473,1009697960.4537014
